,titulo,precio,nRecamaras,m2_construidos,ubicacion,link,imagen
12,Casa en Venta en Buenos Aires,"$ 2,150,000",3,120,"Buenos Aires, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-buenos-aires-4.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/9abb9e73028e26.jpg
13,"Casa Venta en Valle de Brisas, zona Contry.","$ 3,350,000",3,185,"Valle de las Brisas, Monterrey",https://www.lamudi.com.mx/casa-venta-en-valle-de-brisas-zona-contry.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2f6c127ea138bb.jpg
14,Casa - Pedregal la Silla 1 Sector,"$ 5,500,000",3,290,"Pedregal La Silla, Monterrey",https://www.lamudi.com.mx/casa-pedregal-la-silla-1-sector-4.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/60410e5ae04953.jpg
15,"CASA EN VENTA EN VILLA LAS FUENTES, MONTERREY","$ 2,850,000",3,250,"Villa las Fuentes, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-villa-las-fuentes-monterrey-8.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ee1a37bad76748.jpg
16,"Casa en Venta en Palmares Residencial, Carretera Nacional.","$ 11,000,000",3,360,"Palmares Residencial, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-palmares-residencial-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/db7cdbe9d09c13.jpg
17,CASA EN VENTA CUMBRES 5 SECTOR,"$ 8,750,000",4,380,"Cumbres, Monterrey",https://www.lamudi.com.mx/casa-en-venta-cumbres-5-sector-12.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/866f095279efb3.jpg
18,Venta de Casa en Cumbres Elite Cima del Bosque,"$ 5,980,000",3,352,"Cima del Bosque, Monterrey",https://www.lamudi.com.mx/venta-de-casa-en-cumbres-elite-cima-del-bosque.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/73bbd5f633aafe.jpg
19,"CASA EN VENTA EN CUMBRES 5o. SECTOR, MONTERREY, N.L.","$ 8,750,000",3,323,Monterrey,https://www.lamudi.com.mx/casa-en-venta-en-cumbres-5o-sector-monterrey-n-l-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/94239c4cef7cdb.jpg
20,Casa en Venta en El Centro,"$ 3,950,000",3,273,"Centro, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-el-centro-52.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/bc7886701ceaf1.jpg
21,Casa en Venta en Balcones de las Mitras Monterrey,"$ 2,180,000",3,127,"Balcones de las Mitras, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-balcones-de-las-mitras-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c3c6b302d01935.jpg
22,"Casa En Venta En Sierra Alta, Monterrey, Nuevo Leon","$ 10,900,000",3,510,"Sierra Alta 1a Etapa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-sierra-alta-monterrey-nuevo-leon-30.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e0c82ce292021e.jpg
23,"Casa En Venta En Colinas De San Jeronimo, Monterrey, Nuevo Leon","$ 6,550,000",3,350,"Colinas de San Jeronimo, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-colinas-de-san-jeronimo-monterrey-nuevo-leon-32.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b04a02542c98b1.jpg
24,Casa en Venta Privada Bosques del Vergel Carr Nacional Monterrey,"$ 7,150,000",3,306,"Privada Residencial Bosques Del Vergel, Monterrey",https://www.lamudi.com.mx/casa-en-venta-privada-bosques-del-vergel-carr-nacional-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/3bc6b87f2c0760.jpg
25,"SE VENDE  CASA ZONA CARRETERA NACIONAL FRACC, CERRADAS VALLE ALTO","$ 5,600,000",3,210,"Valle Alto, Monterrey",https://www.lamudi.com.mx/se-vende-casa-zona-carretera-nacional-fracc-cerradas-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/01f34ce1779a8c.jpg
26,Casa en venta en Mision Linconl Monterrey  Nuevo Leon,"$ 1,750,000",3,168,"Mision Lincoln, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-mision-linconl-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a4a88e4d0ca07d.jpg
27,"Casa en Venta Bosquencinos Monterrey, Estrena Casa Nueva en Colonia Privada.","$ 9,500,000",4,420,"Valle de Bosquencinos, Monterrey",https://www.lamudi.com.mx/casa-en-venta-bosquencinos-monterrey-estrena-casa-nueva-en-colonia-privada.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/56cec139bc2933.jpg
28,"Casa En Venta En Vista Hermosa, Monterrey, Nuevo Leon","$ 5,800,000",4,270,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-vista-hermosa-monterrey-nuevo-leon-15.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/25c38ac7614f0b.jpg
29,SIERRA ALTA / RESIDENCIA PLUS/ 9o Sector,"$ 18,500,000",4,586,"Sierra Alta 2a Etapa, Monterrey",https://www.lamudi.com.mx/sierra-alta-residencia-plus-9o-sector.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/22900ec52b15d0.jpg
31,Casa - Vista Hermosa,"$ 8,750,000",3,353,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-vista-hermosa-46.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/fec7125e57c7e2.jpg
32,"Puerta de Hierro, casa en VENTA","$ 2,880,000",4,210,"Puerta de Hierro, Monterrey",https://www.lamudi.com.mx/puerta-de-hierro-casa-en-venta-5.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e1d202b2c9c534.jpg
33,"Casa En Venta En Catujanes, Monterrey, Nuevo Leon","$ 6,850,000",4,415,"Catujanes, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-catujanes-monterrey-nuevo-leon-17.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7865b8a9a10f03.jpg
34,Casa en venta Col. Vista Hermosa,"$ 4,200,000",3,283,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/casa-en-venta-col-vista-hermosa-5.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4316e3d1c9c707.jpg
35,"Casa En Venta En Campestre Mederos, Monterrey, Nuevo Leon","$ 4,500,000",3,255,"Campestre Mederos, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-campestre-mederos-monterrey-nuevo-leon-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/287ff23db31ea5.jpg
36,Casa en Venta del Paseo Residencial,"$ 5,800,000",3,315,"Del Paseo Residencial, Monterrey",https://www.lamudi.com.mx/casa-en-venta-del-paseo-residencial-14.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2470ef7f4f83f0.jpg
37,"Casa En Venta En Los Cristales, Monterrey, Nuevo Leon","$ 9,500,000",3,340,"Los Cristales, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-los-cristales-monterrey-nuevo-leon-10.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2d4560d219f050.jpg
38,"Casa En Venta En Lomas De Montecristo, Monterrey, Nuevo Leon","$ 11,750,000",3,530,"Lomas de Montecristo, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-lomas-de-montecristo-monterrey-nuevo-leon-16.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b8eaf16a259864.jpg
39,Casa en venta al sur de Monterrey Privada Paseo del Vergel Carretera Nacional,"$ 3,600,000",3,182,"Paseo del Vergel, Monterrey",https://www.lamudi.com.mx/casa-en-venta-al-sur-de-monterrey-privada-paseo-del-vergel-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/bdd032c1427f1a.jpg
40,Venta Casa Mitras Centro Monterrey,"$ 3,200,000",3,250,"Mitras Centro, Monterrey",https://www.lamudi.com.mx/venta-casa-mitras-centro-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cce9ef9f4d758c.jpg
41,CASA EN VENTA  AV. RUIZ CORTINEZ AL PONIENTE DE MONTERREY,"$ 1,750,000",2,135,"Valle Verde 2o Sect, Monterrey",https://www.lamudi.com.mx/casa-en-venta-av-ruiz-cortinez-al-poniente-de-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/410aeabcec6690.jpg
42,"Casa en Venta Paseo de Cumbres, Monterrey, Nuevo Leon","$ 2,750,000",3,204,"Paseo de Cumbres, Monterrey",https://www.lamudi.com.mx/casa-en-venta-paseo-de-cumbres-monterrey-nuevo-leon-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/911a95ecd253da.jpg
43,"Casa en venta zona sur, Cortijo del Rio.","$ 3,990,000",3,120,"Cortijo Del Rio, Monterrey",https://www.lamudi.com.mx/casa-en-venta-zona-sur-cortijo-del-rio-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1d3eb1f65bf686.jpg
44,"Casa en venta zona sur, Jardines Roma.","$ 2,890,000",3,148,"Jardines Roma, Monterrey",https://www.lamudi.com.mx/casa-en-venta-zona-sur-jardines-roma.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a91960821db3a6.jpg
45,CASA NUEVA LISTA PARA ESTRENAR EQUIPADA EN CUMBRES ELITE PREMIER,"$ 7,350,000",3,380,"Cumbres Elite, Monterrey",https://www.lamudi.com.mx/casa-nueva-lista-para-estrenar-equipada-en-cumbres-elite-premier.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/35dde8a14992de.jpg
47,"Casa En Venta En Cerradas De Cumbres, Monterrey, Nuevo Leon","$ 3,650,000",3,211,"Cumbres, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-cerradas-de-cumbres-monterrey-nuevo-leon-11.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/22a770e1531f83.jpg
48,"Casa En Venta En Cumbres Del Valle, Monterrey, Nuevo Leon","$ 6,500,000",3,320,"Cumbres Del Valle, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-cumbres-del-valle-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a2dd541a8b004f.jpg
49,VENTA DE CASA EN CORTIJO DEL RIO ZONA SUR MONTERREY.,"$ 4,300,000",3,230,"Cortijo Del Rio, Monterrey",https://www.lamudi.com.mx/venta-de-casa-en-cortijo-del-rio-zona-sur-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/878ebb9b41acfd.jpg
50,Casa en Venta en Paseo Cumbres Monterrey Nuevo Leon cerca plaza cumbres,"$ 5,300,000",4,300,"Paseo de Cumbres, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-paseo-cumbres-monterrey-nuevo-leon-cerca-plaza-cumbres.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/aa6d0668a37af0.jpg
51,Casa en Venta cerca de Esfera Monterrey la Rioja Carretera Nacional,"$ 8,500,000",4,389,"Canterias, Monterrey",https://www.lamudi.com.mx/casa-en-venta-cerca-de-esfera-monterrey-la-rioja-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2d21f49afa8db3.jpg
52,VENTA CASA SAN JERONIMO MONTERREY,"$ 10,000,000",3,380,"San Jeronimo, Monterrey",https://www.lamudi.com.mx/venta-casa-san-jeronimo-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/090383f8baf0d9.jpg
53,"Venta de casa en urbivilla bonita solidaridad, monterrey recien remodelada","$ 760,000",2,45,"Urbivilla Bonita, Monterrey",https://www.lamudi.com.mx/venta-de-casa-en-urbivilla-bonita-solidaridad-monterrey-recien-remodelada.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4fe71453cd1e60.jpg
54,"Casa En Venta En , Monterrey, Nuevo Leon","$ 9,750,000",3,384,"San Jeronimo, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-monterrey-nuevo-leon-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/c6496af3d28ba5.jpg
55,Casa en Venta Colinas del Valle Monterrey,"$ 6,700,000",3,352,"Colinas Del Valle, Monterrey",https://www.lamudi.com.mx/casa-en-venta-colinas-del-valle-monterrey-4.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b649a9e7ab6cef.jpg
56,Oportunidad Casa en Venta en Cumbres San Agustin Monterrey,"$ 2,290,000",3,167,"Cumbres San Agustin, Monterrey",https://www.lamudi.com.mx/oportunidad-casa-en-venta-en-cumbres-san-agustin-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/bfe571d1b55a44.jpg
57,"CASA EN VENTA EN EL ENCANTO II, CARRETERA NACIONAL","$ 5,830,000",3,290,Monterrey,https://www.lamudi.com.mx/casa-en-venta-en-el-encanto-ii-carretera-nacional.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d6c7085e3e4d72.jpg
58,Casa en Venta Cerradas de Cumbres excelente ubicacion,"$ 2,600,000",3,140,"Cerradas Cumbres, Monterrey",https://www.lamudi.com.mx/casa-en-venta-cerradas-de-cumbres-excelente-ubicacion.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a8df0249203d77.jpg
59,"Casa En Venta En La Alhambra, Monterrey, Nuevo Leon","$ 4,890,000",3,246,"Alhambra, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-la-alhambra-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a341f3ded283d1.jpg
61,"Casa en venta en Colinas de San Jeronimo, de una sola planta, frente a parque...","$ 9,300,000",3,323,"Colinas de San Jeronimo, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-colinas-de-san-jeronimo-de-una-sola-planta-frente-a-parque.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/19921bb5d7e018.jpg
63,Venta Casa Paseo de Cumbres Monterrey,"$ 2,750,000",3,195,"Paseo de Cumbres, Monterrey",https://www.lamudi.com.mx/venta-casa-paseo-de-cumbres-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2eea868a73f400.jpg
64,"Casa En Venta En Mitras Centro, Monterrey, Nuevo Leon","$ 5,190,000",4,375,"Mitras Centro, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-mitras-centro-monterrey-nuevo-leon-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/5b0808d5e48195.jpg
65,"Casa En Venta En Villa Las Fuentes, Monterrey, Nuevo Leon","$ 3,250,000",5,411,"Villa las Fuentes, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-villa-las-fuentes-monterrey-nuevo-leon-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/298c9417dc3d54.jpg
66,CASA EN SAN JERONIMO,"$ 5,600,000",3,297,"San Jeronimo, Monterrey",https://www.lamudi.com.mx/casa-en-san-jeronimo-38.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0cb324246d27c6.jpg
67,Venta de Casa en Real de Cumbres Privada Rodeo Monterrey,"$ 2,350,000",3,146,"Real de Cumbres, Monterrey",https://www.lamudi.com.mx/venta-de-casa-en-real-de-cumbres-privada-rodeo-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cd0cd871896931.jpg
68,Casa en Venta para Remodelar en Del Paseo Residencial Monterrey,"$ 5,200,000",3,230,"Del Paseo Residencial, Monterrey",https://www.lamudi.com.mx/casa-en-venta-para-remodelar-en-del-paseo-residencial-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/2902d42f980cb4.jpg
69,Venta de casa en el Centro de Monterrey,"$ 4,700,000",5,208,"Monterrey Centro, Monterrey",https://www.lamudi.com.mx/venta-de-casa-en-el-centro-de-monterrey-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/8ead44ffca06c6.jpg
70,"Venta Casa Vistalta,estricta seguridad,espectacular,ESTRENE,Monterrey,Nuevo Leon","$ 6,000,000",3,326,"Vistalta 1er Sector, Monterrey",https://www.lamudi.com.mx/venta-casa-vistalta-estricta-seguridad-espectacular-estrene-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ad07647588b881.jpg
71,"Oferta Casa Venta,Valle del cristal,Zona Sur,Bonitas Vistas Monterrey,Nuevo Leon","$ 6,450,000",3,350,"Valle de Cristal, Monterrey",https://www.lamudi.com.mx/oferta-casa-venta-valle-del-cristal-zona-sur-bonitas-vistas-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/4467f4f50365ba.jpg
72,"Casa en  Venta,Bosques de Vistancia,Estricta Seguridad,Monterrey,Nuevo Leon","$ 6,900,000",3,315,"Vistancia, Monterrey",https://www.lamudi.com.mx/casa-en-venta-bosques-de-vistancia-estricta-seguridad-monterrey-nuevo-leon-2.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e5a63013131247.jpg
73,"Casa Inteligente en Venta en Monterrey, en La Herradura, 5 Recamaras, C/ Alberca","$ 26,900,000",5,860,"Club de Golf La Herradura, Monterrey",https://www.lamudi.com.mx/casa-inteligente-en-venta-en-monterrey-en-la-herradura-5-recamaras-c-alberca.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/fceb0245476c41.jpg
74,Casa en VENTA Cumbres Elite,"$ 3,550,000",3,226,"Cumbres Elite, Monterrey",https://www.lamudi.com.mx/casa-en-venta-cumbres-elite-70.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/708ee096cb362d.jpg
75,Casa en Venta Pedregal de la Silla,"$ 4,690,000",3,260,"Pedregal La Silla, Monterrey",https://www.lamudi.com.mx/casa-en-venta-pedregal-de-la-silla-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/0b43dff12ead6f.jpg
76,Ofrezco Casa En Venta Colinas de San Jeronimo,"$ 5,500,000",3,298,"Colinas de San Jeronimo, Monterrey",https://www.lamudi.com.mx/ofrezco-casa-en-venta-colinas-de-san-jeronimo-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6153f9aede35ce.jpg
77,Casas en Venta en Cumbres del Valle,"$ 5,935,965",3,385,"Cumbres Del Valle, Monterrey",https://www.lamudi.com.mx/casas-en-venta-en-cumbres-del-valle-3.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/9dc9694a883524.jpg
78,CASA EN VENTA LOMAS DEL VERGEL,"$ 5,350,000",3,254,"Paseo del Vergel, Monterrey",https://www.lamudi.com.mx/casa-en-venta-lomas-del-vergel-23.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/a940473fb7f486.jpg
79,CASA VENTA  EN Carretera Nacional,"$ 13,000,000",4,532,"El Uro, Monterrey",https://www.lamudi.com.mx/casa-venta-en-carretera-nacional-5.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/b59c2d58872676.jpg
80,Casa en Venta Valle de las Cumbres,"$ 2,100,000",4,190,"Valle de las Cumbres, Monterrey",https://www.lamudi.com.mx/casa-en-venta-valle-de-las-cumbres-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/aecd716dbb5c22.jpg
81,"Venta de Casa Cima del Bosque, Cumbres elite 9no sector","$ 4,900,000",3,270,"Cima del Bosque, Monterrey",https://www.lamudi.com.mx/venta-de-casa-cima-del-bosque-cumbres-elite-9no-sector.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/91a42fdbd3d659.jpg
82,BAJA DE PRECIO Venta Paso de Cumbres,"$ 2,295,000",3,178,"Paseo de Cumbres, Monterrey",https://www.lamudi.com.mx/baja-de-precio-venta-paso-de-cumbres.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/cc2200b192a309.jpg
83,Venta Casa en Vista Hermosa Monterrey,"$ 5,700,000",5,300,"Vista Hermosa, Monterrey",https://www.lamudi.com.mx/venta-casa-en-vista-hermosa-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/55f79a46aecc56.jpg
84,"Casa Venta Monterrey, Valle de las Brisas, Contry.","$ 4,680,000",4,320,"Valle de las Brisas, Monterrey",https://www.lamudi.com.mx/casa-venta-monterrey-valle-de-las-brisas-contry.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/00bf383108f0ac.jpg
85,CASA EN VENTA PORTAL DE VALLE ALTO,"$ 10,600,000",4,380,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-portal-de-valle-alto.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/39087d8512169a.jpg
86,"Casa En Venta En Altavista Sur, Monterrey, Nuevo Leon","$ 3,300,000",3,188,"Altavista Sur, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-altavista-sur-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/7598ad89681d97.jpg
87,"Casa En Venta En Residencial Cumbres, Monterrey, Nuevo Leon","$ 6,500,000",3,375,"Residencial Cumbres, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-residencial-cumbres-monterrey-nuevo-leon-1.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1250f7543f0c51.jpg
88,"Casa En Venta En Cumbres Del Valle, Monterrey, Nuevo Leon","$ 5,028,034",3,285,"Cumbres Del Valle, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-cumbres-del-valle-monterrey-nuevo-leon-6.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/55c2c4010ce547.jpg
89,"Casa en Venta en Jardines de Valle Alto, Carretera Nacional Monterrey","$ 8,900,000",3,520,"Valle Alto, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-jardines-de-valle-alto-carretera-nacional-monterrey.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/e4a99c1a599682.jpg
90,"Casa En Venta En Cumbres 5to Sector, Monterrey, Nuevo Leon","$ 5,500,000",4,316,"Cumbres, Monterrey",https://www.lamudi.com.mx/casa-en-venta-en-cumbres-5to-sector-monterrey-nuevo-leon-10.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6ccd00d51e4f22.jpg
91,Venta Casa Cumbres Monterrey Nuevo Leon,"$ 4,200,000",3,250,"Cumbres Oro Sector Le Fontaine, Monterrey",https://www.lamudi.com.mx/venta-casa-cumbres-monterrey-nuevo-leon.html,https://static-mx.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6c8cc07dd31198.jpg
